policy,category,grid_i,grid_j,bias_p1,bias_p2,window_index,window_end_round,outcome,share
thompson,Strongly late-biased,49,49,0.5,0.5,1,100000,Residual,0.059250625
thompson,Strongly late-biased,49,49,0.5,0.5,2,200000,"(0,0)",0.9706525
thompson,Strongly late-biased,49,49,0.5,0.5,2,200000,"(1,1)",0.0017075
thompson,Strongly late-biased,49,49,0.5,0.5,2,200000,"(2,2)",0.00065375
thompson,Strongly late-biased,49,49,0.5,0.5,2,200000,Off diagonal,0.02698624999999997
thompson,Strongly late-biased,49,49,0.5,0.5,2,200000,Residual,0.02934749999999997
thompson,Strongly late-biased,49,49,0.5,0.5,3,300000,"(0,0)",0.97950125
thompson,Strongly late-biased,49,49,0.5,0.5,3,300000,"(1,1)",0.000750625
thompson,Strongly late-biased,49,49,0.5,0.5,3,300000,"(2,2)",0.000316875
thompson,Strongly late-biased,49,49,0.5,0.5,3,300000,Off diagonal,0.019431250000000008
thompson,Strongly late-biased,49,49,0.5,0.5,3,300000,Residual,0.02049875000000001
thompson,Strongly late-biased,49,49,0.5,0.5,4,400000,"(0,0)",0.984841875
thompson,Strongly late-biased,49,49,0.5,0.5,4,400000,"(1,1)",0.000403125
thompson,Strongly late-biased,49,49,0.5,0.5,4,400000,"(2,2)",0.000164375
thompson,Strongly late-biased,49,49,0.5,0.5,4,400000,Off diagonal,0.014590625000000022
thompson,Strongly late-biased,49,49,0.5,0.5,4,400000,Residual,0.015158125000000022
thompson,Strongly late-biased,49,49,0.5,0.5,5,500000,"(0,0)",0.988133125
thompson,Strongly late-biased,49,49,0.5,0.5,5,500000,"(1,1)",0.000223125
thompson,Strongly late-biased,49,49,0.5,0.5,5,500000,"(2,2)",0.000104375
thompson,Strongly late-biased,49,49,0.5,0.5,5,500000,Off diagonal,0.011539375000000055
thompson,Strongly late-biased,49,49,0.5,0.5,5,500000,Residual,0.011866875000000054
thompson,Asymmetric,49,0,0.5,-0.5,1,100000,"(0,0)",0.9926175
thompson,Asymmetric,49,0,0.5,-0.5,1,100000,"(1,1)",0.000246875
thompson,Asymmetric,49,0,0.5,-0.5,1,100000,"(2,2)",8.4375e-05
thompson,Asymmetric,49,0,0.5,-0.5,1,100000,Off diagonal,0.007051249999999959
thompson,Asymmetric,49,0,0.5,-0.5,1,100000,Residual,0.0073824999999999585
thompson,Asymmetric,49,0,0.5,-0.5,2,200000,"(0,0)",0.99959625
thompson,Asymmetric,49,0,0.5,-0.5,2,200000,"(1,1)",0.0
thompson,Asymmetric,49,0,0.5,-0.5,2,200000,"(2,2)",0.0
thompson,Asymmetric,49,0,0.5,-0.5,2,200000,Off diagonal,0.000403750000000036
thompson,Asymmetric,49,0,0.5,-0.5,2,200000,Residual,0.000403750000000036
thompson,Asymmetric,49,0,0.5,-0.5,3,300000,"(0,0)",0.999795
thompson,Asymmetric,49,0,0.5,-0.5,3,300000,"(1,1)",0.0
thompson,Asymmetric,49,0,0.5,-0.5,3,300000,"(2,2)",0.0
thompson,Asymmetric,49,0,0.5,-0.5,3,300000,Off diagonal,0.00020500000000001073
thompson,Asymmetric,49,0,0.5,-0.5,3,300000,Residual,0.00020500000000001073
thompson,Asymmetric,49,0,0.5,-0.5,4,400000,"(0,0)",0.9998625
thompson,Asymmetric,49,0,0.5,-0.5,4,400000,"(1,1)",0.0
thompson,Asymmetric,49,0,0.5,-0.5,4,400000,"(2,2)",0.0
thompson,Asymmetric,49,0,0.5,-0.5,4,400000,Off diagonal,0.0001375000000000126
thompson,Asymmetric,49,0,0.5,-0.5,4,400000,Residual,0.0001375000000000126
thompson,Asymmetric,49,0,0.5,-0.5,5,500000,"(0,0)",0.99989375
thompson,Asymmetric,49,0,0.5,-0.5,5,500000,"(1,1)",0.0
thompson,Asymmetric,49,0,0.5,-0.5,5,500000,"(2,2)",0.0
thompson,Asymmetric,49,0,0.5,-0.5,5,500000,Off diagonal,0.00010624999999997442
thompson,Asymmetric,49,0,0.5,-0.5,5,500000,Residual,0.00010624999999997442
thompson,Slowest median attraction,8,22,-0.336734693877551,-0.0510204081632653,1,100000,"(0,0)",0.938056875
thompson,Slowest median attraction,8,22,-0.336734693877551,-0.0510204081632653,1,100000,"(1,1)",0.007805625
thompson,Slowest median attraction,8,22,-0.336734693877551,-0.0510204081632653,1,100000,"(2,2)",0.00686125
thompson,Slowest median attraction,8,22,-0.336734693877551,-0.0510204081632653,1,100000,Off diagonal,0.04727624999999999
thompson,Slowest median attraction,8,22,-0.336734693877551,-0.0510204081632653,1,100000,Residual,0.06194312499999999
thompson,Slowest median attraction,8,22,-0.336734693877551,-0.0510204081632653,2,200000,"(0,0)",0.970499375
thompson,Slowest median attraction,8,22,-0.336734693877551,-0.0510204081632653,2,200000,"(1,1)",0.00170875
thompson,Slowest median attraction,8,22,-0.336734693877551,-0.0510204081632653,2,200000,"(2,2)",0.000643125
thompson,Slowest median attraction,8,22,-0.336734693877551,-0.0510204081632653,2,200000,Off diagonal,0.027148749999999947
thompson,Slowest median attraction,8,22,-0.336734693877551,-0.0510204081632653,2,200000,Residual,0.029500624999999947
thompson,Slowest median attraction,8,22,-0.336734693877551,-0.0510204081632653,3,300000,"(0,0)",0.979376875
thompson,Slowest median attraction,8,22,-0.336734693877551,-0.0510204081632653,3,300000,"(1,1)",0.000769375
