policy,grid_i,grid_j,stage_k,fraction_estimated_contrast_positive,median_estimated_contrast,fraction_discrepancy_nonnegative,median_global_contrast,median_discrepancy
epsilon_greedy,0,45,2,0.75,0.2500097501935201,0.5,0.250035,-2.4973598133914976e-07
epsilon_greedy,0,46,1,1.0,1.0000270011640875,0.53125,0.999967,4.800116408754107e-05
epsilon_greedy,0,46,2,0.75,0.2500097501935201,0.5,0.250035,-2.4973598133914976e-07
epsilon_greedy,0,47,1,1.0,1.0000270011640875,0.53125,0.999967,4.800116408754107e-05
epsilon_greedy,0,47,2,0.75,0.2500097501935201,0.5,0.250035,-2.4973598133914976e-07
epsilon_greedy,0,48,1,1.0,1.0000270011640875,0.53125,0.999967,4.800116408754107e-05
epsilon_greedy,0,48,2,0.75,0.2500097501935201,0.5,0.250035,-2.4973598133914976e-07
epsilon_greedy,0,49,1,1.0,1.0000390007740805,0.59375,0.999967,5.4000774080353864e-05
epsilon_greedy,0,49,2,0.75,0.2500105001995274,0.46875,0.2500184999999999,-4.997794716965487e-07
epsilon_greedy,1,0,1,1.0,1.0000390007380793,0.59375,0.999967,5.40007380789298e-05
epsilon_greedy,1,0,2,0.78125,0.2500135002700101,0.53125,0.25001675,2.655121678074579e-10
epsilon_greedy,1,1,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,1,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,1,2,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,2,2,0.75,0.25001050021002763,0.46875,0.250035,-4.99789972352449e-07
epsilon_greedy,1,3,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,3,2,0.75,0.25001050021002763,0.46875,0.250035,-4.99789972352449e-07
epsilon_greedy,1,4,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,4,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,1,5,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,5,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,1,6,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,6,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,1,7,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,7,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,1,8,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,8,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,1,9,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,9,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,1,10,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,10,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,1,11,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,11,2,0.75,0.25001050021002763,0.46875,0.250035,-4.99789972352449e-07
epsilon_greedy,1,12,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,12,2,0.75,0.25001050021002763,0.46875,0.250035,-4.99789972352449e-07
epsilon_greedy,1,13,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,13,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,1,14,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,14,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,1,15,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,15,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,1,16,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,16,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,1,17,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,17,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,1,18,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,18,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,1,19,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,19,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,1,20,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,20,2,0.75,0.25001050021002763,0.46875,0.250035,-4.99789972352449e-07
epsilon_greedy,1,21,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,21,2,0.75,0.25001050021002763,0.46875,0.250035,-4.99789972352449e-07
