policy,bias_p1,bias_p2,equilibrium_id,equilibrium_name,convergence_time
epsilon_greedy,-1.1666666666666667,1.1666666666666665,0,BI,84139
epsilon_greedy,-1.1666666666666667,1.333333333333333,3,Mixed,-1
epsilon_greedy,-1.1666666666666667,1.5,0,BI,89211
epsilon_greedy,-1.1666666666666667,1.6666666666666665,0,BI,112459
epsilon_greedy,-1.1666666666666667,1.833333333333333,0,BI,107383
epsilon_greedy,-1.1666666666666667,2.0,0,BI,97908
epsilon_greedy,-1.0,-2.0,0,BI,52829
epsilon_greedy,-1.0,-1.8333333333333333,0,BI,62385
epsilon_greedy,-1.0,-1.6666666666666667,0,BI,44519
epsilon_greedy,-1.0,-1.5,0,BI,40400
epsilon_greedy,-1.0,-1.3333333333333335,0,BI,48219
epsilon_greedy,-1.0,-1.1666666666666667,0,BI,64040
epsilon_greedy,-1.0,-1.0,0,BI,40287
epsilon_greedy,-1.0,-0.8333333333333335,0,BI,49211
epsilon_greedy,-1.0,-0.6666666666666667,0,BI,61573
epsilon_greedy,-1.0,-0.5,0,BI,59924
epsilon_greedy,-1.0,-0.3333333333333335,0,BI,50438
epsilon_greedy,-1.0,-0.16666666666666674,0,BI,67609
epsilon_greedy,-1.0,0.0,0,BI,48481
epsilon_greedy,-1.0,0.16666666666666652,0,BI,55456
epsilon_greedy,-1.0,0.33333333333333304,1,Partial,-1
epsilon_greedy,-1.0,0.5,0,BI,76895
epsilon_greedy,-1.0,0.6666666666666665,0,BI,60716
epsilon_greedy,-1.0,0.833333333333333,0,BI,73861
epsilon_greedy,-1.0,1.0,3,Mixed,-1
epsilon_greedy,-1.0,1.1666666666666665,1,Partial,-1
epsilon_greedy,-1.0,1.333333333333333,0,BI,94412
epsilon_greedy,-1.0,1.5,0,BI,97107
epsilon_greedy,-1.0,1.6666666666666665,0,BI,95329
epsilon_greedy,-1.0,1.833333333333333,0,BI,100579
epsilon_greedy,-1.0,2.0,0,BI,116372
epsilon_greedy,-0.8333333333333335,-2.0,0,BI,56746
epsilon_greedy,-0.8333333333333335,-1.8333333333333333,0,BI,52304
epsilon_greedy,-0.8333333333333335,-1.6666666666666667,0,BI,43782
epsilon_greedy,-0.8333333333333335,-1.5,0,BI,45798
epsilon_greedy,-0.8333333333333335,-1.3333333333333335,0,BI,49843
epsilon_greedy,-0.8333333333333335,-1.1666666666666667,0,BI,50879
epsilon_greedy,-0.8333333333333335,-1.0,0,BI,54103
epsilon_greedy,-0.8333333333333335,-0.8333333333333335,0,BI,48483
epsilon_greedy,-0.8333333333333335,-0.6666666666666667,0,BI,56190
epsilon_greedy,-0.8333333333333335,-0.5,0,BI,56101
epsilon_greedy,-0.8333333333333335,-0.3333333333333335,0,BI,59791
epsilon_greedy,-0.8333333333333335,-0.16666666666666674,0,BI,50157
